timestamp,true_price,estimated_price,moneyness,time_to_maturity
2021.03.017.0,393.0,444.9062,-0.09548378,7.0
2021.012.03.0,3.827942,11.39183,3.0886,0.0
2021.03.017.0,124.75817,94.08935,1.0643103,0.0
2021.07.027.0,91.2241,75.24495,1.279343,12.999985
2021.08.017.0,657.021,590.93146,0.18208599,0.0
2021.012.024.0,56.06389,46.241913,1.1251267,1731.0
2021.012.03.0,359.0,378.5055,0.5264187,0.0
2021.07.027.0,121.65674,97.65476,1.1163703,4.0
2021.09.07.0,287.0,344.23285,0.62275267,0.0
2021.02.023.0,180.0,214.72914,-0.7615626,12.999985
2021.02.023.0,65.84752,78.243126,1.71718,0.0
2021.09.07.0,153.0,203.72289,-1.0035365,0.0
2021.02.023.0,69.01454,62.675102,1.485182,4.0
2021.09.030.0,22.361908,16.562439,1.6215159,183.0
2021.06.015.0,577.4572,623.1398,0.3258772,12.999985
2021.06.015.0,430.0,491.90265,0.5213392,0.0
2021.012.024.0,286.14474,331.65967,0.55606484,19.0
2021.09.030.0,91.69525,80.10179,1.4600421,0.0
2021.09.07.0,371.7375,342.8822,0.88069373,0.0
2021.07.027.0,198.0,258.61935,-0.5152123,12.999985
2021.05.03.0,10.347382,8.808472,2.3641114,56.0
2021.07.06.0,32.0,31.313492,1.426005,0.0
2021.05.024.0,373.95108,283.57834,-0.37552857,0.0
2021.07.06.0,40.23349,44.00276,1.9736732,0.0
2021.02.023.0,376.64148,376.3189,0.5824466,30.0
2021.010.022.0,382.0,394.43866,0.15544105,0.0
2021.08.017.0,3.899994,5.53537,-2.406267,2.0
2021.010.022.0,153.0,201.15314,-1.09133,1.0
2021.012.03.0,583.3015,580.5989,0.19962025,0.0
2021.07.027.0,386.0,389.4212,-0.15452886,7.0
2021.05.03.0,15.109131,20.297714,2.5361357,0.0
2021.07.027.0,382.171,342.1659,0.26392555,17.0
2021.010.022.0,155.6764,102.070114,-0.53560233,0.0
2021.010.022.0,44.15233,36.143387,1.8141025,3.0
2021.011.012.0,0.19999695,1.8447418,-3.1741478,0.0
2021.09.07.0,978.5868,827.83936,0.014877915,0.0
2021.06.015.0,71.758125,90.200096,1.565292,5.0
2021.012.024.0,31.282593,29.140503,1.534684,1002.0
2021.05.03.0,18.262863,11.187042,2.0436091,373.0
2021.06.015.0,67.0,124.494194,1.3914533,0.0
2021.01.022.0,55.418716,46.49977,1.6107885,55.0
2021.012.03.0,49.0,55.752678,1.0490891,0.0
2021.06.015.0,226.76064,243.05945,1.0877486,4.0
2021.02.023.0,272.11053,204.43106,0.54829895,1341.0
2021.09.07.0,527.0,535.1734,0.20837307,0.0
2021.02.023.0,8.026978,14.94635,2.6269457,27.0
2021.06.015.0,462.0,548.2277,0.09299767,0.0
2021.05.03.0,15.158997,9.268387,2.1442308,97.0
2021.01.022.0,200.0,140.37148,0.75866485,0.0
2021.012.024.0,17.08879,15.288132,1.9968774,174.0
2021.03.017.0,63.031807,61.28923,1.502855,14.0
2021.010.022.0,312.37488,293.4034,0.83260286,30.0
2021.08.017.0,506.0,440.4765,0.40197432,0.0
2021.08.017.0,399.25534,438.4137,-0.14490294,0.0
2021.09.07.0,67.4189,60.300613,1.3627136,73.0
2021.09.030.0,860.0,760.8351,-0.096484065,1.0
2021.010.022.0,96.40446,75.10292,1.224427,3.0
2021.05.03.0,56.0,119.56004,-0.9001348,240.0
2021.07.06.0,94.07008,106.04761,1.1064363,49.0
2021.05.03.0,26.255127,27.475113,2.1214252,16.0
2021.07.027.0,146.0,137.64578,0.93584114,0.0
2021.02.023.0,55.89332,63.89554,1.8452561,0.0
2021.07.06.0,55.325882,58.26243,1.483302,22.0
2021.04.09.0,262.0,307.83957,-0.83079123,0.0
2021.012.024.0,160.85744,184.73318,0.7488172,172.0
2021.010.022.0,10.5,9.69458,-2.2458074,11.0
2021.05.024.0,70.0,52.810867,-1.4075634,3.0
2021.05.03.0,57.0,26.592453,1.534714,0.0
2021.05.024.0,17.0,12.043457,-2.0016286,0.0
2021.06.015.0,5.5,8.735306,-2.106355,0.0
2021.09.07.0,235.81284,233.49649,1.184656,33.0
2021.09.030.0,65.99999,75.33179,-1.5167348,0.0
2021.06.015.0,64.962425,78.612686,1.653775,0.0
2021.09.030.0,87.0,121.43015,-1.3461668,0.0
2021.08.017.0,17.0,32.735,-1.4520524,1068.0
2021.09.030.0,14.645523,11.830917,1.8799491,39.0
2021.02.023.0,45.0,31.772018,-1.6557343,5.0
2021.011.012.0,676.1001,645.30237,0.059568882,0.0
2021.011.012.0,44.923874,28.40892,1.3393977,830.0
2021.010.022.0,46.220016,31.311768,1.3158531,758.0
2021.010.022.0,33.5,28.575516,-1.745321,123.0
2021.09.030.0,40.5,44.402283,-1.5459275,82.0
2021.05.024.0,185.0,187.62375,-0.539093,2518.0
2021.02.023.0,10.845856,14.715652,2.3480067,32.0
2021.05.024.0,3.0,5.583359,-2.5584571,0.0
2021.09.07.0,48.860764,43.76831,1.659296,6.0
2021.05.03.0,170.0,104.95889,1.0691221,0.0
2021.05.024.0,277.26157,216.89766,-0.32791376,0.0
2021.03.017.0,7.100006,9.017197,-1.9755075,3.0
2021.012.024.0,129.0,121.68057,-0.7595742,77.0
2021.07.06.0,33.697952,33.989655,2.1335795,50.0
2021.08.017.0,118.66311,58.948837,1.0999899,294.0
2021.010.022.0,701.26843,701.5222,-0.16333222,0.0
2021.07.027.0,85.0,89.97471,-1.4992526,0.0
2021.01.022.0,25.819885,17.757874,1.7788652,852.0
2021.09.030.0,497.84155,499.2428,0.5320965,0.0
2021.02.023.0,80.82463,84.85294,1.6363039,0.0
2021.011.012.0,0.19999695,2.5762024,-3.2664974,653.0
2021.01.022.0,19.98085,24.678635,2.2377074,297.0
2021.011.012.0,174.82532,174.68765,0.8121022,5.0
2021.01.022.0,27.876144,16.582886,1.7382501,6679.0
2021.05.024.0,56.0,38.939987,-1.6879947,0.0
2021.09.030.0,124.487144,110.41283,-0.6503432,0.0
2021.05.03.0,72.0,24.137589,1.507247,0.0
